[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 15:07:58.951][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 16:07:46.058][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 16:08:07.055][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 16:13:00.052][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 16:13:46.590][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 17:15:49.679][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 21:22:57.597][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 21:25:46.058][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 21:26:36.177][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 21:26:57.353][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
[lf-1][SERVER_NAME_IS_UNDEFINED][2020-01-31 21:46:15.537][DEBUG][main][StartupInfoLogger.java:53] - Running with Spring Boot v2.1.12.RELEASE, Spring v5.1.13.RELEASE
